Date,MSCI World
04/2022,848430.7
05/2022,849073.3
06/2022,775524.9
07/2022,837098.6999999998
08/2022,802101.4
09/2022,727538.2
10/2022,779784.8
11/2022,834003.6
12/2022,798585.7
01/2023,855090.5
02/2023,834535.4
03/2023,860322.3
04/2023,875403.3
05/2023,866663.8000000002
06/2023,919077.7
07/2023,949952.1
08/2023,927261.8
09/2023,887261.1999999997
10/2023,861516.6
11/2023,942285.6
12/2023,988546.4
01/2024,1000409.3999999999
02/2024,1042824.4
03/2024,1076335.4
04/2024,1036355.2
05/2024,1082630.6
06/2024,1104659.8
07/2024,1124126.6
08/2024,1153837.8
09/2024,1174969.1
10/2024,1151661.4
11/2024,1204507.2
12/2024,1173117
01/2025,1214514.7000000002
02/2025,1205773.6
03/2025,1152091.9
04/2025,1162330.6
05/2025,1231131.0999999999
06/2025,1284258.1
07/2025,1300789.9
08/2025,1334721.6
09/2025,1377627.4
10/2025,1405214.8
11/2025,1409184.2
12/2025,1420575.2
01/2026,1452366.3
02/2026,1463005
03/2026,1369818.9000000004
04/2026,1501209.8
05/2026,1569546.5
